player,attempt,hr_min,hr_max,hr_mean,hr_std,hr_peak,hr_bottom
10,3,63.0,77.0,70.23512747875354,3.205767361008522,0.0,0.44192634560906513
10,4,65.0,76.0,70.00847457627118,2.7346956039670403,0.0,0.3898305084745763
10,5,65.0,74.0,69.77049180327869,2.5228196502266678,0.0,0.4098360655737705
10,6,68.0,76.0,71.1896551724138,2.15855746155681,0.0,0.3017241379310345
11,-1,68.0,101.0,78.30839002267574,9.341021327860062,0.1473922902494331,0.28798185941043086
11,1,66.0,70.0,68.54605263157895,0.9889375916231921,0.0,1.0
11,2,70.0,81.0,74.87209302325581,2.4879312345579163,0.0,0.17054263565891473
11,3,70.0,75.0,73.01408450704226,1.453710905600983,0.0,0.28169014084507044
11,4,70.0,82.0,75.70557029177719,2.5838688944673502,0.0,0.08222811671087533
11,5,69.0,84.0,75.11524163568774,2.392016813833671,0.0,0.10408921933085502
12,-1,77.0,116.0,90.39090909090909,7.168662137424005,0.04727272727272727,0.18727272727272729
12,1,78.0,101.0,91.03092783505154,4.075590445153993,0.0,0.07216494845360824
12,2,86.0,105.0,95.53233830845771,3.1733576862646804,0.0,0.0
12,3,83.0,102.0,95.2810650887574,3.638036291879561,0.0,0.011834319526627219
12,4,80.0,117.0,97.57901085645356,5.3396786063814,0.09650180940892641,0.014475271411338963
13,-1,67.0,99.0,73.51401869158879,5.645528683790399,0.03364485981308411,0.6953271028037383
13,1,68.0,77.0,72.59498207885305,2.3036044441113313,0.0,0.6236559139784946
13,2,70.0,83.0,74.9326923076923,2.6658129904472223,0.0,0.2644230769230769
13,3,71.0,79.0,74.248730964467,1.4547813194616839,0.0,0.24873096446700507
13,4,71.0,82.0,74.08050847457628,2.850509725961344,0.0,0.5889830508474576
13,5,72.0,83.0,75.23504273504274,2.41958447960799,0.0,0.23504273504273504
13,6,72.0,79.0,75.19303797468355,1.5277586898546385,0.0,0.11075949367088607
14,-1,65.0,117.0,79.38216560509554,12.846617899716064,0.06369426751592357,0.3980891719745223
14,1,67.0,111.0,86.80030721966206,8.31125649470978,0.047619047619047616,0.006144393241167435
14,2,68.0,104.0,85.83890577507599,8.387065754467,0.0,0.0729483282674772
14,3,70.0,118.0,85.96141479099678,8.897255177073683,0.06430868167202572,0.011254019292604502
15,-1,79.0,100.0,85.78559463986599,3.917041607669343,0.18090452261306533,0.5946398659966499
15,1,79.0,95.0,86.69285714285714,3.868624696251963,0.2357142857142857,0.39285714285714285
15,2,78.0,92.0,86.72916666666667,3.532503915933274,0.2152777777777778,0.25
15,3,83.0,97.0,87.83505154639175,2.603636543980372,0.27319587628865977,0.18556701030927836
15,4,82.0,86.0,83.76760563380282,1.2919032798576844,0.0,0.8661971830985915
15,5,81.0,91.0,83.73611111111111,1.9068742449803517,0.027777777777777776,0.9236111111111112
15,6,81.0,90.0,85.73282442748092,2.0165006200508295,0.015267175572519083,0.4389312977099237
16,-1,79.0,104.0,87.43432203389831,5.403459610304576,0.163135593220339,0.2627118644067797
16,1,84.0,101.0,90.81435643564356,2.944093103178261,0.15841584158415842,0.0
16,2,81.0,96.0,87.03783783783784,3.305738698555247,0.04864864864864865,0.0972972972972973
16,3,84.0,99.0,89.97026022304833,2.2755695381763372,0.07434944237918216,0.0
16,4,80.0,95.0,86.29943502824858,3.128979233333083,0.005649717514124294,0.192090395480226
16,5,76.0,92.0,82.57837837837837,3.941910754891587,0.0,0.6270270270270271
16,6,78.0,104.0,88.43872919818457,5.4690269109150345,0.14826021180030258,0.15431164901664146
17,-1,63.0,107.0,74.46113989637306,8.240511762659853,0.031088082901554404,0.2849740932642487
17,1,64.0,79.0,70.08695652173913,3.1349276457921698,0.0,0.43478260869565216
17,2,63.0,89.0,73.58470764617691,5.051084981117718,0.0,0.14992503748125938
17,3,65.0,93.0,72.71681415929204,5.546317436171768,0.0,0.26253687315634217
18,-1,66.0,99.0,78.87637362637362,6.506041381030643,0.05631868131868132,0.16071428571428573
18,1,68.0,94.0,74.74829931972789,4.902243739844639,0.027210884353741496,0.336734693877551
18,2,73.0,96.0,77.82644628099173,4.8039526884126245,0.049586776859504134,0.0
18,3,67.0,92.0,77.8640350877193,7.001820118221149,0.06140350877192982,0.27631578947368424
18,4,75.0,93.0,79.98148148148148,3.7490624725271364,0.041666666666666664,0.0
18,5,72.0,90.0,81.0936170212766,3.977468821847491,0.029787234042553193,0.00425531914893617
19,-1,68.0,103.0,79.11278195488721,7.762176445747574,0.011278195488721804,0.3233082706766917
19,1,70.0,102.0,85.08752327746741,6.871540704449668,0.00558659217877095,0.0633147113594041
19,2,73.0,111.0,89.05739130434783,9.097143757341426,0.17217391304347826,0.020869565217391306
19,3,70.0,109.0,87.02702702702703,7.040943733506901,0.08108108108108109,0.024774774774774775
20,-1,77.0,124.0,85.88920454545455,8.072516106754186,0.02130681818181818,0.6278409090909091
20,1,88.0,106.0,94.26875,4.49559095673911,0.0,0.0
20,2,83.0,95.0,88.9609756097561,3.2143122071585504,0.0,0.13170731707317074
20,3,81.0,100.0,89.54117647058824,4.130412291416196,0.0,0.1411764705882353
20,4,81.0,94.0,87.66206896551724,3.3066025902208405,0.0,0.2206896551724138
20,5,77.0,99.0,85.3828125,6.068014883467595,0.0,0.484375
20,6,77.0,95.0,85.15015015015015,3.925700187907736,0.0,0.4744744744744745
20,7,81.0,96.0,86.56198347107438,3.616221089850567,0.0,0.2975206611570248
